minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,mrtDisp,roomPax,amtBedroom,commentsSentiment,room_type_Private room
90.0,4.0,0.05,8.0,364.0,0.012810475440046331,0.0,0.0,0.980325,0.0
90.0,2.0,0.03,8.0,358.0,0.0033586159351720922,0.0,0.0,0.79175,0.0
90.0,3.0,0.04,8.0,364.0,0.014280702783826904,0.0,0.0,0.6581666666666667,0.0
2.0,1.0,0.02,1.0,363.0,0.006780489141634732,0.0,0.0,0.9851,0.0
90.0,5.0,0.07,8.0,364.0,0.00904479192684542,0.0,0.0,0.72312,0.0
90.0,5.0,0.06,8.0,364.0,0.010139522720523032,0.0,0.0,0.92526,0.0
90.0,9.0,0.14,8.0,364.0,0.007184637847513575,0.0,0.0,0.6993,0.0
14.0,97.0,1.16,1.0,364.0,0.006275654945900593,0.0,0.0,0.6943422680412372,0.0
4.0,6.0,0.08,1.0,0.0,0.008634296844552136,0.0,0.0,0.7405666666666666,1.0
90.0,29.0,0.4,1.0,76.0,0.005384266059551664,0.0,0.0,0.8798290322580645,0.0
5.0,51.0,0.79,1.0,74.0,0.012178390903579679,0.0,0.0,0.8698877192982459,0.0
18.0,8.0,0.13,112.0,359.0,0.00023193533581258497,0.0,0.0,0.5347624999999999,0.0
5.0,22.0,0.49,1.0,67.0,0.004391192320993157,0.0,0.0,0.7218586206896551,0.0
108.0,0.0,0.0,1.0,365.0,0.007290612182798649,0.0,0.0,0.0,0.0
14.0,0.0,0.0,1.0,365.0,0.002324802787331041,0.0,0.0,0.0,1.0
2.0,9.0,0.19,38.0,349.0,0.001962224502954439,0.0,0.0,0.6498611111111111,1.0
1.0,0.0,0.0,1.0,365.0,0.00571500699912557,0.0,0.0,0.0,0.0
183.0,0.0,0.0,1.0,365.0,0.0024647233110420066,0.0,0.0,0.0,0.0
90.0,3.0,0.17,112.0,356.0,0.0013291696656193485,0.0,0.0,0.5602333333333334,0.0
2.0,27.0,0.39,5.0,223.0,0.013790431501581454,0.0,0.0,0.8509444444444441,0.0
1.0,0.0,0.0,1.0,365.0,0.01219863410387228,0.0,0.0,0.0,0.0
14.0,0.0,0.0,1.0,365.0,0.01294470768306259,0.0,0.0,0.0,0.0
2.0,78.0,1.1,2.0,342.0,0.016636674246985218,0.0,0.0,0.7619322222222221,0.0
30.0,21.0,0.39,2.0,0.0,0.0032344249875364424,0.0,0.0,0.7891666666666668,0.0
1.0,2.0,0.08,7.0,233.0,0.003040733135272972,0.0,0.0,0.42595,0.0
1.0,1.0,1.0,2.0,0.0,0.006534280832651619,0.0,0.0,0.9129,0.0
1.0,134.0,1.91,5.0,301.0,0.0005304073906006635,0.0,0.0,0.7188577181208053,0.0
1.0,2.0,0.04,5.0,275.0,0.0009797509887715086,0.0,0.0,0.78445,0.0
1.0,83.0,1.22,5.0,298.0,0.00037088003452279085,0.0,0.0,0.6759075268817201,0.0
15.0,5.0,0.08,15.0,37.0,0.003232783475584143,0.0,0.0,0.54498,0.0
90.0,0.0,0.0,83.0,355.0,0.0019228499681410327,0.0,0.0,0.0,0.0
14.0,11.0,0.18,1.0,301.0,0.0017845341128755676,0.0,0.0,0.6096,1.0
18.0,3.0,0.08,112.0,356.0,0.0014561977887681652,0.0,0.0,0.5919333333333333,0.0
18.0,2.0,0.03,138.0,356.0,0.0019680917153476326,0.0,0.0,0.8909499999999999,0.0
90.0,0.0,0.0,7.0,90.0,0.0014318397256669012,0.0,0.0,0.0,0.0
1.0,3.0,0.15,5.0,0.0,0.0021268361478970427,0.0,0.0,0.8268999999999999,0.0
180.0,1.0,0.01,1.0,365.0,0.004732505573154456,0.0,0.0,0.0,0.0
3.0,11.0,0.39,18.0,334.0,0.005947406829869029,0.0,0.0,0.4025769230769231,0.0
183.0,0.0,0.0,1.0,88.0,0.004743186376267719,0.0,0.0,0.0,0.0
180.0,1.0,0.02,1.0,364.0,0.004361424767203706,0.0,0.0,0.9826,0.0
3.0,19.0,0.28,1.0,332.0,0.0040156991919158575,0.0,2.0,0.8001142857142857,1.0
183.0,0.0,0.0,2.0,365.0,0.0024812386019892373,0.0,0.0,0.0,0.0
1.0,9.0,0.15,9.0,361.0,0.0037810830459006923,0.0,0.0,0.6790700000000001,0.0
7.0,24.0,0.35,19.0,365.0,0.002603459237246722,0.0,0.0,0.8674142857142858,1.0
2.0,0.0,0.0,2.0,365.0,0.007934292280985628,0.0,0.0,0.0,0.0
6.0,6.0,0.09,1.0,54.0,0.0018543252141866391,0.0,0.0,0.7667333333333333,0.0
14.0,113.0,1.76,2.0,52.0,0.0061510768163026384,0.0,0.0,0.6312247787610622,0.0
1.0,4.0,0.14,9.0,357.0,0.004077684269287263,0.0,2.0,0.658457142857143,0.0
365.0,4.0,0.06,24.0,0.0,0.0010131125307703212,0.0,0.0,0.698225,0.0
365.0,4.0,0.06,24.0,0.0,0.001546705207845934,0.0,0.0,0.87775,0.0
3.0,11.0,0.57,2.0,311.0,0.0014059736839718616,0.0,0.0,0.7417545454545454,1.0
100.0,16.0,0.31,1.0,363.0,0.007714855345370339,0.0,0.0,0.6641812500000002,0.0
21.0,0.0,0.0,1.0,0.0,0.0036556325034144007,0.0,0.0,0.0,0.0
18.0,1.0,0.03,112.0,353.0,0.0011008723813408594,0.0,0.0,0.6486,0.0
90.0,3.0,0.05,3.0,362.0,0.002424007632002002,0.0,0.0,0.9124666666666666,0.0
90.0,2.0,0.05,3.0,363.0,0.007214141251741052,0.0,0.0,0.56855,0.0
3.0,1.0,0.02,24.0,0.0,0.0027694687216127307,0.0,0.0,0.7346,0.0
4.0,77.0,1.01,3.0,0.0,0.002110295240000008,0.0,0.0,0.7386949999999998,0.0
1.0,108.0,1.65,16.0,80.0,0.001581351320870091,0.0,0.0,0.5043731481481479,0.0
90.0,0.0,0.0,1.0,0.0,0.003699573218629172,0.0,0.0,0.0,0.0
